cluster,ego_id,model,mean_diff,std_diff,n_replications
sparse_cluster,8c91caa3a839773cd186d3bde85792ab,gen_ftr1,0.16130718954248366,0.08988513229190916,
sparse_cluster,8c91caa3a839773cd186d3bde85792ab,gen_f3ccr1,0.32111111111111107,0.09988810006449858,
sparse_cluster,8c91caa3a839773cd186d3bde85792ab,gen_no_constraint,0.3226797385620914,0.08148410863379746,
sparse_cluster,8c91caa3a839773cd186d3bde85792ab,gen_jdm,0.23673202614379085,0.07629346561727775,
sparse_cluster,8ee230717bb4771948f7f1b5705832bf,gen_ftr1,0.39008103241296527,0.05711910136080943,
sparse_cluster,8ee230717bb4771948f7f1b5705832bf,gen_f3ccr1,0.43766617758214393,0.03661593769851784,
sparse_cluster,8ee230717bb4771948f7f1b5705832bf,gen_no_constraint,0.4240746298519408,0.04505556132001786,
sparse_cluster,8ee230717bb4771948f7f1b5705832bf,gen_jdm,0.3985610911031079,0.04159505329495084,
sparse_cluster,bf39541b7ad854fc1d6f46ea6a9c4b34,gen_ftr1,0.36032931691194986,0.0760633758493913,
stars_cluster,0305fa001039c87957e4b40382da1af8,gen_ftr1,0.3597724700130368,0.026809425646581727,
stars_cluster,0305fa001039c87957e4b40382da1af8,gen_f3ccr1,0.3719184841692668,0.01845057073794227,
stars_cluster,0305fa001039c87957e4b40382da1af8,gen_no_constraint,0.36823217136695463,0.02172336284311524,
stars_cluster,0305fa001039c87957e4b40382da1af8,gen_jdm,0.35774810861316053,0.016523595719233432,
stars_cluster,149a4a2fe5330e617e50fbb1256a3948,gen_ftr1,0.29409652749988885,0.04135743604055804,
stars_cluster,2fe81f90ddcd8c72f38a253f470379b6,gen_ftr1,0.2254852489558372,0.03714465316389027,
stars_cluster,2fe81f90ddcd8c72f38a253f470379b6,gen_f3ccr1,0.2389177228000757,0.037155039481228655,
stars_cluster,2fe81f90ddcd8c72f38a253f470379b6,gen_no_constraint,0.2327754511283923,0.035424798783443935,
stars_cluster,2fe81f90ddcd8c72f38a253f470379b6,gen_jdm,0.20994432800315158,0.03542235665764497,
stars_cluster,44ecf05ad34f2f076fee207c2efd1d28,gen_ftr1,0.3222767858360142,0.03189726466510987,
stars_cluster,4bdc9ae0b1cc2c50cc3ed01d091ca353,gen_ftr1,0.28401416122004364,0.136695342332217,
stars_cluster,4fe6340fdcaeec9720c6fc14ca82e91a,gen_ftr1,0.31798109889542114,0.05583345730136088,
stars_cluster,4fe6340fdcaeec9720c6fc14ca82e91a,gen_f3ccr1,0.3729935452441846,0.030129730704760726,
stars_cluster,4fe6340fdcaeec9720c6fc14ca82e91a,gen_no_constraint,0.3747354497354497,0.029256893208057355,
stars_cluster,4fe6340fdcaeec9720c6fc14ca82e91a,gen_jdm,0.3142718747578083,0.02838426977023769,
stars_cluster,5852c4ce83d5140a41ce61118b1306b0,gen_ftr1,0.15474917408846484,0.02958112451652665,
stars_cluster,5852c4ce83d5140a41ce61118b1306b0,gen_f3ccr1,0.19174771281089886,0.02766093367725969,
stars_cluster,5852c4ce83d5140a41ce61118b1306b0,gen_no_constraint,0.17750377469628809,0.02588941733031365,
stars_cluster,5852c4ce83d5140a41ce61118b1306b0,gen_jdm,0.10391983239576823,0.02478442259467759,
stars_cluster,b4ac51e3bdb75ac5b3aaf40f33564281,gen_ftr1,0.16895749071969576,0.03091056158312936,
stars_cluster,d19a51bbfb371c13928ddf1f74170584,gen_ftr1,0.24905563548827309,0.03728695863987562,
stars_cluster,ebaea062bfc7de4644a01b732bed6a2e,gen_ftr1,0.31213893640468526,0.0245927450159343,
stars_cluster,f7e8eedb24e13f78fa6c3ce9745cac9e,gen_ftr1,0.2822501909956493,0.01864396578631668,
stars_cluster,f7e8eedb24e13f78fa6c3ce9745cac9e,gen_f3ccr1,0.48853789055975344,0.017404124134834036,
stars_cluster,f7e8eedb24e13f78fa6c3ce9745cac9e,gen_no_constraint,0.4663064776042495,0.018918740840742063,
stars_cluster,f7e8eedb24e13f78fa6c3ce9745cac9e,gen_jdm,0.45892484045631815,0.017069784383503112,
bowtie_cluster,36643a8d2a33deef64c8bc963989c74f,gen_ftr1,0.18516624987213218,0.03038311301292898,
bowtie_cluster,36643a8d2a33deef64c8bc963989c74f,gen_f3ccr1,0.19412640736170148,0.03756521372916979,
bowtie_cluster,36643a8d2a33deef64c8bc963989c74f,gen_no_constraint,0.17850722262486968,0.030744731467149764,
bowtie_cluster,36643a8d2a33deef64c8bc963989c74f,gen_jdm,0.12696491961197845,0.02747847092976852,
bowtie_cluster,5ba5a16a9d6f245070175d5fb7fcd04f,gen_ftr1,0.28540143592773004,0.02404816280609095,
bowtie_cluster,5ba5a16a9d6f245070175d5fb7fcd04f,gen_f3ccr1,0.31515004752445236,0.020183528477403824,
bowtie_cluster,5ba5a16a9d6f245070175d5fb7fcd04f,gen_no_constraint,0.28908830526997914,0.02717520821936429,
bowtie_cluster,5ba5a16a9d6f245070175d5fb7fcd04f,gen_jdm,0.27519213380872287,0.016663111256577018,
bowtie_cluster,635a6673eae223b87f0b2ca8a957a701,gen_ftr1,0.17635325458854872,0.05606066622642731,
bowtie_cluster,635a6673eae223b87f0b2ca8a957a701,gen_f3ccr1,0.25409085467908993,0.038077872213536916,
bowtie_cluster,635a6673eae223b87f0b2ca8a957a701,gen_no_constraint,0.22503492585845528,0.03848434528096023,
bowtie_cluster,635a6673eae223b87f0b2ca8a957a701,gen_jdm,0.22661064425770314,0.03439349508282515,
bowtie_cluster,885b5f323cb276173bbe9df2281a635b,gen_ftr1,0.3361514302690773,0.06323021894412044,
bowtie_cluster,8f55b1c8e6d4fc0ef2610f96d4f3abef,gen_ftr1,0.3924998702424748,0.022300200494338653,
bowtie_cluster,bde26394f5c678aa917d6047e109331f,gen_ftr1,0.229395224895385,0.03144149674979024,
bowtie_cluster,bde26394f5c678aa917d6047e109331f,gen_f3ccr1,0.2598720556337723,0.02970074859743916,
bowtie_cluster,bde26394f5c678aa917d6047e109331f,gen_no_constraint,0.22677590628375294,0.028190270658905198,
bowtie_cluster,bde26394f5c678aa917d6047e109331f,gen_jdm,0.187023420257113,0.030511079794173418,
bowtie_cluster,f491f50caf93b95537891939836045d5,gen_ftr1,0.12451718060961763,0.029531784163110864,
bowtie_cluster,f491f50caf93b95537891939836045d5,gen_f3ccr1,0.14579609621626433,0.03862180512430151,
bowtie_cluster,f491f50caf93b95537891939836045d5,gen_no_constraint,0.17860912041584315,0.02917727908692696,
bowtie_cluster,f491f50caf93b95537891939836045d5,gen_jdm,0.12330629221385524,0.04020068551066774,
dense_cluster,0f9723c96dcb40c91b5f637ddcdec883,gen_ftr1,0.3138195409743691,0.02339462375977568,
dense_cluster,3beecac4174f2339361183ad90e645b4,gen_ftr1,0.06377038654732732,0.011684879585315413,
